Fluid,COP,UA_ev,UA_cd
PENTANE_R1336MZZE_mass_0.35_0.65,5.991017631938842,582706.158227787,588100.6501297485
PENTANE_R1336MZZE_mass_0.40_0.60,5.9374369868065875,571244.8246733493,575219.8141080934
PENTANE_R1336MZZE_mass_0.45_0.55,5.875406297892972,558874.6668271037,562647.7088329345
PENTANE_R1336MZZE_mass_0.50_0.50,5.809626822129513,546457.6915002234,550812.6298594836
PENTANE_R1336MZZE_mass_0.55_0.45,5.743120857583572,534490.689108807,539892.6978879495
PENTANE_R1336MZZE_mass_0.60_0.40,5.677709143980628,523233.9641878329,529930.3491590467
PENTANE_R1336MZZE_mass_0.65_0.35,5.614525610425436,512801.42937076435,520895.1252136879
PENTANE_R1336MZZE_mass_0.70_0.30,5.554170495829078,503219.96485767444,512723.48721637443
PENTANE_R1336MZZE_mass_0.75_0.25,5.496937420964486,494467.1547411316,505338.37359780393
PENTANE_R1336MZZE_mass_0.80_0.20,5.442919668736767,486494.59154751035,498660.4876009279
PENTANE_R1336MZZE_mass_0.85_0.15,5.392083494376584,479241.95381198055,492614.0108453189
PENTANE_R1336MZZE_mass_0.90_0.10,5.344321932754402,472645.2549037574,487129.12058128923
PENTANE_R1336MZZE_mass_0.95_0.05,5.2995008527242105,466641.7009693389,482142.6272668915
PENTANE_R1336MZZE_mass_1.00_0.00,5.257432161917518,461171.61251821026,477599.012777066
R1224YDZ_R1234ZEE_mass_0.00_1.00,4.810815180522626,462197.681749984,524688.1139127951
R1224YDZ_R1234ZEE_mass_0.05_0.95,4.922040496120748,474337.5507340664,533546.4104476151
R1224YDZ_R1234ZEE_mass_0.10_0.90,5.04270229795912,488159.38497008174,544127.1482687293
R1224YDZ_R1234ZEE_mass_0.15_0.85,5.172181032906129,503879.90109240083,556449.9469802376
R1224YDZ_R1234ZEE_mass_0.20_0.80,5.309357253893323,521714.1395891186,570416.084997851
R1224YDZ_R1234ZEE_mass_0.25_0.75,5.452489345258018,541846.7776521231,585794.3740183181
R1224YDZ_R1234ZEE_mass_0.30_0.70,5.599100881518598,564380.1439987599,602168.6119335315
R1224YDZ_R1234ZEE_mass_0.35_0.65,5.671494509725128,552744.4010668495,620661.2625534656
R1224YDZ_R1234ZEE_mass_0.40_0.60,5.706811510076206,529540.4688083257,639354.5851978597
R1224YDZ_R1234ZEE_mass_0.45_0.55,5.745042284740841,513937.361488783,655989.0079438892
R1224YDZ_R1234ZEE_mass_0.50_0.50,5.785454795233425,504924.1861260437,669059.0590888131
R1224YDZ_R1234ZEE_mass_0.55_0.45,5.827021069950462,501977.4435499313,676982.2019879044
R1224YDZ_R1234ZEE_mass_0.60_0.40,5.868425221761015,504999.6747880027,678319.9460578267
R1224YDZ_R1234ZEE_mass_0.65_0.35,5.908077703022682,514349.8441001038,672052.0587049482
R1224YDZ_R1234ZEE_mass_0.70_0.30,5.944048916867275,530984.5489239505,657847.2163886951
R1224YDZ_R1234ZEE_mass_0.75_0.25,5.973901770124322,556794.3899593952,636227.3713792454
R1224YDZ_R1234ZEE_mass_0.80_0.20,5.994588469455802,595382.6502935264,608555.0005725623
R1224YDZ_R1234ZEE_mass_0.85_0.15,5.918370266726982,605411.3825599388,578477.1173571945
R1224YDZ_R1234ZEE_mass_0.90_0.10,5.693149270704013,554602.6195249947,549087.7878352314
R1224YDZ_R1234ZEE_mass_0.95_0.05,5.434940881971824,505071.5716051845,520169.5878751002
R1224YDZ_R1234ZEE_mass_1.00_0.00,5.1576949658122455,461383.08544563263,493314.3714849648
R1336MZZZ_R1336MZZE_mass_0.00_1.00,4.805266749872897,462185.8327783864,488690.96030428645
R1336MZZZ_R1336MZZE_mass_0.05_0.95,4.9161421736633235,472845.1543848197,499260.8427062794
R1336MZZZ_R1336MZZE_mass_0.10_0.90,5.026598203508208,484044.5789990141,510090.9935917982
R1336MZZZ_R1336MZZE_mass_0.15_0.85,5.134954499423582,495642.27272917423,520868.18579336314
R1336MZZZ_R1336MZZE_mass_0.20_0.80,5.239165061030511,507435.8202039483,531239.8671466697
R1336MZZZ_R1336MZZE_mass_0.25_0.75,5.337156409881073,519152.76658988063,540826.172236275
R1336MZZZ_R1336MZZE_mass_0.30_0.70,5.426820575909441,530445.3245976903,549243.9328265206
R1336MZZZ_R1336MZZE_mass_0.35_0.65,5.506087983623537,540892.229234974,556134.2540403544
